datetime,search_config,query_set_id,query,metric,value
2024-06-30,research_1,sampled_queries,heinkels knife set,dcg,0.0
2024-06-30,research_1,sampled_queries,honda fit key,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,honor 20 pro,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,interior lights dome lights kit,dcg,1.0
2024-06-30,research_1,sampled_queries,iphone charger without electricity,dcg,2.5616063116448506
2024-06-30,research_1,sampled_queries,iphone10r フィルム,dcg,0.0
2024-06-30,research_1,sampled_queries,jewelry sack bag velvet,dcg,1.0
2024-06-30,research_1,sampled_queries,jumbo blunt wraps,dcg,1.0
2024-06-30,research_1,sampled_queries,key alike padlocks,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,kobe baby jersey,dcg,1.0
2024-06-30,research_1,sampled_queries,led fluorescent replacement bulbs,dcg,1.0
2024-06-30,research_1,sampled_queries,lg ultrafine 5k display for mac,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,little red hen bilingual,dcg,0.7385899473758972
2024-06-30,research_1,sampled_queries,look,dcg,1.0
2024-06-30,research_1,sampled_queries,luces bicicleta fixie,dcg,1.0
2024-06-30,research_1,sampled_queries,magnetic watch band,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,maybelline マスカラ,dcg,1.576195160837134
2024-06-30,research_1,sampled_queries,meggs’ history of graphic design,dcg,0.7027032161077507
2024-06-30,research_1,sampled_queries,memory foam pillow,dcg,0.0
2024-06-30,research_1,sampled_queries,mickey mouse ears,dcg,1.0
2024-06-30,research_1,sampled_queries,mikiwi eyelashes 25mm,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,modern wall mount sink,dcg,0.0
2024-06-30,research_1,sampled_queries,mp5,dcg,0.006955550056718884
2024-06-30,research_1,sampled_queries,mr crappie sausage head,dcg,0.0
2024-06-30,research_1,sampled_queries,máquinas de coser,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,nail light,dcg,1.0
2024-06-30,research_1,sampled_queries,narrow shelf unit,dcg,0.0
2024-06-30,research_1,sampled_queries,newborn baby gifts,dcg,0.6309297535714575
2024-06-30,research_1,sampled_queries,nike sunray adjust 4,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,ninja blender,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,northface hydration packs,dcg,1.0
2024-06-30,research_1,sampled_queries,notebook touch,dcg,0.15294420683543336
2024-06-30,research_1,sampled_queries,omron x7,dcg,0.08812629435585911
2024-06-30,research_1,sampled_queries,one man and his dog,dcg,0.5
2024-06-30,research_1,sampled_queries,oven liners for bottom of oven,dcg,1.0
2024-06-30,research_1,sampled_queries,pantalon agua moto hombre,dcg,1.0043884634832396
